Animalia ,Annelida,Oligochaeta,Haplotaxida,Glossoscolecidae,Fimoscolex,sporadochaetus,,Fimoscolex sporadochaetus ,"Fimoscolex sporadochaetus Michaelsen, 1918",Minhoca-branca,,,
Animalia ,Annelida,Oligochaeta,Haplotaxida,Glossoscolecidae,Rhinodrilus,alatus,,Rhinodrilus alatus ,"Rhinodrilus alatus Righi, 1971",Minhocuçu,,,
Animalia ,Annelida,Oligochaeta,Haplotaxida,Glossoscolecidae,Rhinodrilus,fafner,,Rhinodrilus fafner ,"Rhinodrilus fafner Michaelsen, 1918",Minhocuçu,,,
Animalia ,Annelida,Polychaeta,Aciculata,Amphinomidae,Eurythoe,complanata,,Eurythoe complanata ,"Eurythoe complanata (Pallas, 1766)",Verme-de-fogo,,,
Animalia ,Annelida,Polychaeta,Aciculata,Eunicidae,Eunice,sebastiani,,Eunice sebastiani ,"Eunice sebastiani Nonato, 1965",Desconhecido,,,
Animalia ,Annelida,Polychaeta,Aciculata,Onuphidae,Diopatra,cuprea,,Diopatra cuprea ,"Diopatra cuprea (Bosc, 1802)",Desconhecido,,,
Animalia ,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,californiensis,,Hemipodia californiensis ,"Hemipodia californiensis (Hartman, 1938)","Bicha-da-praia, Minhoca-da-praia",,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,acaraje,,Charinus acaraje ,"Charinus acaraje Pinto-da-Rocha, Machado & Weygoldt, 2002",Aranha-chicote,,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,asturius,,Charinus asturius ,"Charinus asturius Pinto-da-Rocha, Machado & Weygoldt, 2002",Aranha-chicote,,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,eleonorae,,Charinus eleonorae ,"Charinus eleonorae Baptista & Giupponi, 2003",Aranha-chicote,,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,mysticus,,Charinus mysticus ,"Charinus mysticus Giupponi & Kury, 2002",Aranha-chicote,,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,potiguar,,Charinus potiguar ,"Charinus potiguar Vasconcelos, Giupponi & Ferreira 2013",Aranha-chicote,,,
Animalia ,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,troglobius,,Charinus troglobius ,"Charinus troglobius Baptista & Giupponi, 2002",Aranha-chicote,,,
